product_id,product_name,category,subcategory,cost_price
PROD-0444,Desk Lamp Model-303,Home,Desk Lamp,374.81
PROD-0445,Blender Model-897,Home,Blender,59.52
PROD-0446,Jeans Model-342,Clothing,Jeans,370.19
PROD-0447,Socks Model-325,Clothing,Socks,41.4
PROD-0448,Fiction Novel Model-546,Books,Fiction Novel,76.75
PROD-0449,Tech Guide Model-496,Books,Tech Guide,189.88
PROD-0450,Science Journal Model-298,Books,Science Journal,317.85
PROD-0451,Blender Model-443,Home,Blender,67.97
PROD-0452,Keyboards Model-239,Electronics,Keyboards,60.0
PROD-0453,History Anthology Model-528,Books,History Anthology,89.74
PROD-0454,Blender Model-402,Home,Blender,303.8
PROD-0455,Hoodies Model-188,Clothing,Hoodies,208.79
PROD-0456,Tech Guide Model-705,Books,Tech Guide,239.38
PROD-0457,Cookbook Model-114,Books,Cookbook,366.36
PROD-0458,Hoodies Model-435,Clothing,Hoodies,219.95
PROD-0459,Jackets Model-687,Clothing,Jackets,449.63
PROD-0460,Fiction Novel Model-141,Books,Fiction Novel,495.68
PROD-0461,Tablets Model-643,Electronics,Tablets,200.19
PROD-0462,Smartwatches Model-607,Electronics,Smartwatches,124.05
PROD-0463,Tablets Model-323,Electronics,Tablets,70.69
PROD-0464,Blender Model-763,Home,Blender,499.48
PROD-0465,Smartwatches Model-785,Electronics,Smartwatches,155.89
PROD-0466,Biography Model-865,Books,Biography,293.91
PROD-0467,History Anthology Model-890,Books,History Anthology,73.62
PROD-0468,Tech Guide Model-908,Books,Tech Guide,436.42
PROD-0469,Science Journal Model-748,Books,Science Journal,5.68
PROD-0470,Tablets Model-807,Electronics,Tablets,169.79
PROD-0471,Keyboards Model-536,Electronics,Keyboards,377.68
PROD-0472,Jeans Model-735,Clothing,Jeans,441.02
PROD-0473,Cameras Model-152,Electronics,Cameras,59.93
PROD-0474,Desk Lamp Model-733,Home,Desk Lamp,25.23
PROD-0475,Blender Model-763,Home,Blender,281.6
PROD-0476,Monitors Model-241,Electronics,Monitors,490.72
PROD-0477,Jeans Model-764,Clothing,Jeans,241.85
PROD-0478,Hoodies Model-428,Clothing,Hoodies,179.59
PROD-0479,Air Purifier Model-796,Home,Air Purifier,214.35
PROD-0480,Smartphones Model-481,Electronics,Smartphones,175.89
PROD-0481,Biography Model-639,Books,Biography,415.63
PROD-0482,Science Journal Model-644,Books,Science Journal,340.76
PROD-0483,Desk Lamp Model-735,Home,Desk Lamp,187.23
PROD-0484,Monitors Model-568,Electronics,Monitors,48.22
PROD-0485,Tech Guide Model-395,Books,Tech Guide,479.34
PROD-0486,Smartphones Model-268,Electronics,Smartphones,141.59
PROD-0487,Sweaters Model-254,Clothing,Sweaters,438.12
PROD-0488,Keyboards Model-526,Electronics,Keyboards,484.94
PROD-0489,Sweaters Model-455,Clothing,Sweaters,212.96
PROD-0490,Keyboards Model-293,Electronics,Keyboards,36.16
PROD-0491,Dresses Model-521,Clothing,Dresses,291.46
PROD-0492,Desk Lamp Model-707,Home,Desk Lamp,334.6
PROD-0493,History Anthology Model-411,Books,History Anthology,285.79
PROD-0494,Blender Model-908,Home,Blender,133.7
PROD-0495,Cookbook Model-395,Books,Cookbook,386.03
PROD-0496,Laptops Model-461,Electronics,Laptops,145.77
PROD-0497,Jackets Model-828,Clothing,Jackets,269.98
PROD-0498,Jackets Model-959,Clothing,Jackets,355.52
PROD-0499,Jackets Model-343,Clothing,Jackets,62.87
PROD-0500,Air Purifier Model-229,Home,Air Purifier,223.24
